,G1,G2,G3,SP2_1,SP2_2,SP2_3,R1,R2,R3,SP1_1,SP1_2,SP1_3,NC,Time
0,3377.9220779220773,2810.4448742746613,2446.969696969697,5328.752642706134,2912.4168514412418,3472.332015810276,2149.3506493506497,2254.9407114624505,2045.4545454545455,2783.176593521421,1638.0724538619274,2415.719696969697,136.36363636363637,10
1,3341.1541824540946,2616.804168475901,2588.974854932302,5157.156673114122,2492.13691026827,3229.349186483104,1905.5617767823817,1986.7021276595744,1819.6853209368855,2451.175811870101,1480.4071636307974,2210.3259808705843,138.29787234042553,20
2,3376.0683760683764,2374.870197300104,2425.7309941520466,4807.2562358276655,2393.9393939393935,3494.9494949494947,1808.2437275985662,1789.7153351698807,1816.3082437275987,2324.532453245324,1698.4126984126983,2212.962962962963,111.1111111111111,30
3,3441.0891089108914,2364.3033946251767,2425.7425742574255,4702.409863627873,2386.234739978852,3251.089108910892,1691.0891089108911,1644.935262757045,1907.618034530726,2143.3413611631436,1779.9779977997798,2181.6873995091814,108.9108910891089,40
4,3796.5596330275234,2441.8075669118207,2633.4643949322854,4668.169802519049,2532.1100917431195,3474.123735591626,1607.6707441386338,1484.235689365551,1759.6193345200602,2136.0224429448785,1786.4532500487994,2238.22629969419,128.44036697247708,50
5,4253.679653679655,2620.7587687902646,2910.1104502973662,5364.252696456087,2918.1818181818185,3835.690235690236,1568.6732186732186,1562.868117797695,1799.1978609625667,2393.052475979305,2093.416927899686,2566.2756598240467,127.2727272727273,60
6,4838.138738224379,3264.859591666086,3650.318418658507,6137.029867256637,3590.1548672566378,4670.947550183467,1797.759762361532,1714.2490701551876,1947.430986659622,3227.2162707654097,2740.6830362707215,3268.508525793223,97.34513274336284,70
7,5677.931034482759,3799.0421455938695,4343.288177339902,7090.829585207396,4651.567398119123,5719.256335687579,1833.8769804287042,1773.6453201970442,2026.6171658696198,3974.1379310344832,3384.4827586206893,3935.1751289709473,112.06896551724138,80
8,6786.0851505711325,4416.286149162861,5126.177024482109,8257.309941520469,6212.9629629629635,6658.119658119658,1808.6419753086423,1793.6507936507935,2053.272450532724,4914.098972922502,4200.147167034584,4633.414436334144,111.11111111111111,90
9,7859.951603145796,5245.61403508772,6151.386530843237,9716.699155295648,7768.102073365232,7846.265147404593,1895.1570543124278,1974.4152046783624,2210.5263157894733,6620.555814314548,5593.505039193728,5754.8908241827585,122.80701754385966,100
10,8973.858267716536,6238.734177215191,7221.679389312977,10982.857142857143,9289.152542372882,9422.524271844659,1978.7283236994222,2238.550724637681,2350.0671140939594,8886.728971962619,7469.62962962963,7239.999999999999,160.0,110
11,10094.708994708993,7058.748403575991,8315.61996779388,12322.44008714597,10642.549526270457,11023.023023023025,2117.0452220175976,2579.7930283224396,2669.419419419419,10705.062861026165,9060.484945377031,9311.111111111111,148.14814814814818,120
12,10925.777754382274,8584.354516956399,9924.05628769265,13639.435383602722,11893.699844292729,13253.689492325857,2416.008914476739,2892.620596682492,3126.663149873981,11596.943460579825,10410.351093136393,10713.723505931297,157.02479338842977,130
13,12049.304911955516,10416.496220542465,11598.735511064277,14590.461538461539,12556.41025641026,13791.21744397335,2544.343891402715,3220.814479638009,3107.6923076923085,12957.864523536166,11690.313390313393,11920.22254475085,161.53846153846152,140
14,13057.35820614283,11927.798112117127,13553.158990974309,15443.824896062606,13397.545295149037,14681.56130268199,2899.1284577491474,3274.7528333735227,3204.570004154549,13976.794035414723,13318.135376756069,13154.573611397895,144.82758620689654,150
15,13981.837003576135,13075.776397515529,14550.623023282402,16372.550591063919,14305.82821098703,15447.204968944103,3443.0278595038326,3198.7577639751557,3278.0110343870365,14888.122076527876,14146.962838193494,14001.459457624818,124.22360248447207,160
16,14966.56184486373,13857.588075880758,15326.767676767678,17245.00328731098,15297.342995169081,16190.404040404042,3458.2437275985662,3216.8549905838045,3305.2119129438715,15674.482109227873,15084.657455382843,15039.734912577553,127.77777777777779,170
17,15652.832129519891,14526.06448323019,15836.827016648693,17970.393743997804,15926.193791833251,17090.027663631725,3407.749912047042,3243.4668170708783,3239.763113367174,16315.804780033839,15795.801760710168,15568.3345419386,126.90355329949239,180
18,16723.88117885545,15438.598956242475,16833.99416643879,19061.69623580212,16798.87101763068,17906.62209195823,3459.005145797599,3241.5735482689133,3269.1172803590725,16901.21293800539,16328.393721823346,16200.152426464532,127.35849056603772,190
19,17394.708459723628,16089.337474120082,17427.135093167704,19611.72716394097,17225.359563564227,18245.36360138515,3437.3766898063577,3217.3136645962736,3266.5483584738245,17318.674583413143,16800.536768652713,16814.082027812008,113.04347826086958,200
20,17930.347826086956,16584.48708487085,17996.33195020747,20165.915966386554,17925.122807017546,18986.20408163265,3447.9844357976654,3205.2181069958847,3314.9312977099235,17554.861788617887,17118.30769230769,17057.81818181818,124.0,210
21,18725.01889644747,17689.992119779356,18632.43933588761,20666.63773148148,18455.25197328476,19342.15563878485,3480.759459820832,3218.6026936026933,3300.495565988524,17769.121930919682,17340.55621457757,17255.607355607357,118.5185185185185,220
