,G1,G2,G3,SP2_1,SP2_2,SP2_3,R1,R2,R3,SP1_1,SP1_2,SP1_3,NC,Time
0,1143.8786565547132,512.9656443332894,977.5464380485814,546.0764587525151,1248.3320978502593,800.6219132979697,590.181867906468,864.3914770675335,983.6031112045409,682.6938643354379,1153.9582321515297,946.0764587525152,225.35211267605635,10
1,1092.6073131955486,531.447335185653,961.8659755646058,577.9014308426073,1266.5424044734386,890.4504504504505,506.9980694980694,760.2543720190778,862.7311522048365,551.4605514605515,1224.4617498854784,903.7837837837837,216.21621621621622,20
2,1050.8016877637133,576.2294163772824,924.0506329113925,613.9821158982697,1107.3275093599573,886.0759493670887,464.1350210970464,732.9522253981215,809.3731163351415,505.43295620029124,1146.6747036367292,955.363091272485,202.53164556962025,30
3,1069.2458648724419,666.9470142977291,1076.4829870520925,636.8108218897314,1358.7242026266417,990.063233965673,471.54471544715443,713.9689578713969,761.8672960923157,529.8780487804877,1252.6392428103386,1156.2294001318392,195.1219512195122,40
4,1296.9492373093271,897.1531676022454,1331.0612135792567,786.452565522333,1602.325581395349,1187.8677500700476,497.3610423882566,745.7218078104432,690.1760486850685,557.5703366401041,1563.5196112460953,1353.6076326774,197.67441860465115,50
5,1799.606162400093,1270.2247191011234,1820.2247191011234,1036.6426295488848,1964.961561206387,1544.3626501356061,587.3480067723564,820.2247191011236,750.6595017098192,766.1706650470694,1875.019239649069,1698.2734995889284,179.7752808988764,60
6,2544.37564499484,1830.1240907145911,2466.5570175438597,1541.2985017287742,2606.5468549422335,2023.516237402016,640.8250355618775,982.1342346692418,789.4736842105262,1047.5382003395582,2364.4736842105262,2227.675931401537,210.5263157894737,70
7,3647.0588235294117,2662.9318394024276,3460.190136660725,2147.0588235294113,3308.230984701572,2686.274509803922,813.7254901960783,1236.8024132730015,882.4277802724143,1480.3921568627447,3089.587559161595,2949.142156862745,186.27450980392157,80
8,5084.421312632322,3963.0843162953256,4834.23277567908,2997.3700305810394,4289.581251703153,3528.721381932391,1056.8026546945148,1370.3524867213905,1010.703363914373,2133.19332375373,4067.4409525668557,3882.8716487040174,155.96330275229357,90
9,6242.194469223908,5281.566154250427,5936.743341404358,3923.890748137752,5177.814769975787,4450.763412242611,1397.8452240178688,1479.4576271186443,1135.1288599953562,2919.313914543793,4954.253743623499,4820.908954552272,152.54237288135593,100
10,7426.611712598425,6624.660326086956,7046.1189516129025,5085.744598765431,6212.312500000001,5456.676136363636,1470.6621503496501,1520.3124999999998,1290.5111754966886,4187.401107594936,6006.153207964601,5943.263319672131,179.6875,110
