,G1,G2,G3,SP2_1,SP2_2,SP2_3,R1,R2,R3,SP1_1,SP1_2,SP1_3,NC,Time
0,1351.5151515151513,1373.7373737373737,1090.909090909091,717.3414820473645,718.1818181818182,1140.7624633431085,1407.222914072229,1029.2929292929293,1310.935441370224,1751.5151515151517,1225.1585623678648,1721.4076246334312,181.81818181818178,10
1,1419.8586223902678,1426.9923337493315,1145.7878655608906,768.216147218381,777.1097046413503,1198.0804006120463,1410.785503728108,1105.1059593229984,1377.1097046413502,1687.9020543681263,1317.7959791511544,1788.5680379746836,164.55696202531644,20
2,1469.6685428392743,1446.726572528883,1329.2682926829266,817.0731707317074,866.4634146341464,1276.2460233297986,1490.112063282795,1287.2465471642665,1427.177700348432,1907.0371851259497,1387.9750425411232,1797.3457675753227,158.53658536585363,30
3,1708.9947089947086,1652.0146520146516,1515.966386554622,978.110599078341,1035.1089588377724,1452.887537993921,1536.6300366300363,1362.8899835796387,1542.074363992172,2038.9610389610386,1569.7865353037769,2002.0703933747411,142.85714285714286,40
4,2110.5691056910564,2091.666666666666,1888.8888888888891,1384.5238095238094,1314.9425287356323,1753.2646048109966,1730.864197530864,1525.4901960784316,1593.9393939393938,2338.0952380952376,1960.7843137254906,2318.721461187214,133.33333333333334,50
5,2669.6832579185525,2608.0586080586086,2382.995951417004,1846.153846153846,1589.7435897435898,2133.282559025133,1858.0586080586083,1637.3626373626375,1712.0075046904312,2659.487179487179,2329.299913569577,2703.296703296703,153.84615384615384,60
6,3504.6347793845016,3310.136522894769,3053.543998244459,2145.1145395044414,1904.1498655913979,2606.47171138579,1893.9068100358425,1621.73959331417,1735.8260019550344,3254.525656730638,2807.3571024335033,3267.183884578739,150.53763440860214,70
7,4402.617568766637,4138.358569234146,3768.8383045525898,2644.7124304267163,2452.48481071818,3255.102040816326,1972.3639455782313,1713.3230650750866,1848.0359885889839,3897.118847539016,3406.530612244898,4098.135550516502,173.46938775510205,80
8,5406.8753715078265,5223.201902120071,4779.788172992056,3661.449614998326,3294.473487677371,4101.10478741212,2175.242718446602,1918.7006623718353,1979.8818937043338,4759.308652512536,4229.088872292756,5146.671289875174,174.75728155339803,90
9,6564.3083980239935,6281.432940148536,5786.11413466024,4641.073845691081,4213.131589757633,5073.767434922055,2352.9513588367663,2154.4207193310053,2102.7699364855325,5556.262872121325,5098.748957464553,6129.051987767584,137.61467889908255,100
10,7634.301270417422,7358.101922490081,6909.343715239155,4763.194933145672,5043.409146490584,5920.585161964472,2422.413793103449,2170.2244116037223,2169.3889897156682,6539.27203065134,5935.736677115988,6977.480647431386,155.17241379310346,110
11,8913.289789389495,8483.537723273794,7919.534050179212,5654.174573055027,6025.2760337735435,7015.04232441089,2551.9566367001585,2277.6148582600194,2326.443480618054,7625.516956162118,6876.799007444169,8049.692780337941,169.3548387096774,120
12,9979.445015416237,9819.264069264069,9178.821178821177,6519.793459552497,7111.801242236023,7870.300751879698,2691.7293233082705,2563.90977443609,2563.4920634920636,8187.969924812029,7528.375733855185,8553.864168618267,142.85714285714283,130
13,10698.403755868543,10704.225352112675,9895.384887944014,7492.469266465848,8220.827998292787,8742.660783980995,2663.2522407170295,2555.415250121418,2591.3390792516293,9352.423363711681,8818.224784951317,10258.293563031079,154.9295774647887,140
14,11820.798628123466,11735.514485514483,11182.749884845694,8780.638852672751,9198.71794871795,9722.527472527472,2670.4160619254953,2558.6361491269467,2567.3713703515023,9658.933002481388,9217.23646723647,10279.670329670329,134.61538461538458,150
