,G1,G2,G3,SP2_1,SP2_2,SP2_3,R1,R2,R3,SP1_1,SP1_2,SP1_3,NC,Time
0,1461.7906683480453,988.1801125703566,948.6561631139946,1045.5301455301458,988.1801125703566,688.8243831640059,1159.747102212856,1132.3498419388832,895.9276018099549,1041.025641025641,1049.1557223264542,966.951566951567,292.3076923076922,10
1,1559.0799031476995,1083.001808318264,1066.2337662337663,1125.8317025440315,1100.3663003663005,747.8021978021978,1166.9275929549904,1271.4285714285716,1032.3688969258587,1032.3688969258587,1061.904761904762,1012.5220458553791,271.42857142857144,20
2,1503.3031563494,1049.7512437810944,1176.944226237235,1146.9734660033168,1134.139429435103,734.9364289662797,1249.7512437810947,1287.8464818763327,978.9179104477612,1121.4812015870016,1074.442601805786,1108.8229737389004,283.58208955223887,30
3,1683.6134453781515,1228.407224958949,1295.6043956043957,1243.6293436293436,1232.142857142857,810.7142857142856,1312.6984126984128,1257.142857142857,1082.4440619621341,1187.375415282392,1175.7475083056477,1209.5238095238094,242.8571428571429,40
4,1975.547730829421,1431.7632850241544,1507.1954484605085,1456.111111111111,1355.1587301587301,986.1111111111111,1322.7777777777778,1242.4402250351618,1069.4444444444443,1327.0202020202019,1331.616729088639,1340.7622739018086,263.8888888888889,50
5,2449.5495495495497,1849.1228070175437,1951.7241379310342,1770.8333333333333,1677.1535580524342,1493.3333333333335,1340.928270042194,1275.5020080321283,1122.222222222222,1677.7777777777774,1647.311827956989,1677.7777777777774,266.6666666666667,60
6,3237.5,2502.5000000000005,2642.934782608695,2333.928571428571,2166.755319148936,2210.416666666666,1350.7352941176468,1353.4090909090908,1215.131578947368,2162.4999999999995,2122.5,2194.078947368421,237.5,70
7,4125.170998632011,3283.573806881243,3476.0460885385073,2998.039215686274,2875.8169934640523,2913.22073383809,1409.1503267973856,1381.7271589486857,1289.9584076054666,2834.0128130460107,2755.27192008879,2844.7058823529414,235.2941176470588,80
8,5169.705469845721,4198.537899191997,4436.454849498328,3782.608695652173,3689.1507517269406,3718.9723320158105,1473.3303451367099,1436.0740421868277,1388.377926421405,3617.471080973275,3452.173913043478,3541.867954911433,217.39130434782606,90
9,6238.859180035651,5156.731246895181,5466.450216450216,4721.212121212122,4544.400527009223,4693.861693861693,1483.1168831168832,1433.3333333333333,1460.4451595602036,4540.01554001554,4231.427174975562,4413.965744400527,212.12121212121215,100
10,7314.814814814815,6326.265196494204,6577.109896782027,5797.115699770567,5692.863595302619,5830.814814814815,1611.274991805965,1527.9295689131752,1497.3544973544972,5526.814814814815,5269.360269360269,5470.814814814815,185.1851851851852,110
11,8273.449612403101,7277.298850574712,7600.925925925925,6704.333333333333,6674.004975124378,6771.56862745098,1611.4829396325458,1578.7037037037035,1571.296296296296,6527.757793764987,6190.2777777777765,6435.199004975124,191.66666666666666,120
12,9661.121484750749,8834.444279859772,9027.184878411383,8096.514586661932,8001.015771184174,8294.308166082616,1698.5170205594877,1576.8074671729155,1586.4113087095302,7949.365000824673,7273.934725719645,7814.7609819121435,178.29457364341084,130
13,10654.852706097281,9553.438073862475,9839.270810454644,8889.655172413792,8896.071584460931,8943.422733077903,1715.1088929219598,1613.7931034482754,1600.7753519689854,8474.17046193884,7990.263691683568,8260.998072392373,186.20689655172413,140
