Set Point,Replicate,Rise Time,Settling Time,t_settle,Offset Error
SP1,1,130,140.0,10.0,5.656327282758988
SP1,2,140,150.0,10.0,4.869978698666511
SP1,3,130,140.0,10.0,6.023977838441057
SP1,4,120,810.0,690.0,16.918031204768692
SP1,5,110,120.0,10.0,6.592277069064998
SP1,6,130,620.0,490.0,13.62359730137036
SP2,1,250,540.0,290.0,15.092661356381388
SP2,2,250,530.0,280.0,14.346516376875842
SP2,3,240,510.0,270.0,12.974022165581497
SP2,4,190,620.0,430.0,14.310968698857195
SP2,5,180,510.0,330.0,10.74259558008802
SP2,6,200,210.0,10.0,8.029651397242974
