Set Point,Replicate,Rise Time,Settling Time,t_settle,Offset Error
SP1,1,100,600.0,500.0,20.506712972354592
SP1,2,110,700.0,590.0,22.016251157411887
SP1,3,110,670.0,560.0,20.038141179748685
SP1,4,110,530.0,420.0,19.468529110249115
SP1,5,110,500.0,390.0,17.27239332272256
SP1,6,110,640.0,530.0,20.834112838983703
SP1,7,110,1000.0,890.0,25.89120957487985
SP1,8,110,910.0,800.0,24.043336797865447
SP1,9,110,920.0,810.0,24.43532142437874
SP2,1,260,960.0,700.0,20.923276658448632
SP2,2,200,530.0,330.0,15.653528384201074
SP2,3,190,560.0,370.0,17.42767021830397
SP2,4,210,460.0,250.0,12.941628141506452
SP2,5,210,510.0,300.0,14.501665567835047
SP2,6,220,520.0,300.0,13.455749018200306
SP2,7,150,800.0,650.0,20.91747991372849
SP2,8,180,700.0,520.0,16.30695272338206
SP2,9,160,690.0,530.0,18.1063337311658
