Set Point,Replicate,Rise Time,Settling Time,t_settle,Offset Error
SP1,1,140,460.0,320.0,10.549665548103915
SP1,2,150,440.0,290.0,10.215064763804193
SP1,3,140,510.0,370.0,12.282073202840353
SP1,4,140,150.0,10.0,7.407302348986566
SP1,5,140,150.0,10.0,6.687144499737202
SP1,6,140,150.0,10.0,9.366780232263103
SP2,1,320,330.0,10.0,6.0740033775056155
SP2,2,310,320.0,10.0,6.387860684939019
SP2,3,310,320.0,10.0,6.281703033846979
SP2,4,280,290.0,10.0,4.403419974503361
SP2,5,300,310.0,10.0,0.4524390064843252
SP2,6,300,310.0,10.0,-0.0818479159741143
