Settling Time,Offset Error (%),Control,Perturbation,Set Point
960.0,27.06767753365086,P,0,SP1
960.0,18.092550995177138,PI,0,SP1
960.0,19.078749554164844,PID,0,SP1
960.0,28.902438551673875,P,0,SP2
944.7383177570093,18.724884686239545,PI,0,SP2
271.4485981308411,9.69413990104112,PID,0,SP2
960.0,31.599461688965786,P,1,SP1
960.0,19.611125775700184,PI,1,SP1
960.0,19.135553119615054,PID,1,SP1
960.0,31.896966469818455,P,1,SP2
859.39,18.400114191290676,PI,1,SP2
266.0841121495327,6.929922198878968,PID,1,SP2
362.2710280373832,14.646126612050494,P,2,SP1
189.28,3.8516158819793525,PI,2,SP1
219.1,3.8182883065518993,PID,2,SP1
821.5981308411215,21.28411492914789,P,2,SP2
262.1856826426965,9.873242929463148,PI,2,SP2
295.4348533077382,5.254817731777816,PID,2,SP2
761.4485981308411,13.47419374701394,P,3,SP1
179.54,8.135396164043273,PI,3,SP1
212.77399012902413,5.295645406061668,PID,3,SP1
826.2336448598131,20.48197826670341,P,3,SP2
589.97,12.259943322027457,PI,3,SP2
284.14018691588785,6.139464659575858,PID,3,SP2
429.46,18.789748495810358,P,4,SP1
182.91967401150487,3.5017448297727594,PI,4,SP1
217.0834627728926,4.958565343625491,PID,4,SP1
811.9719626168225,25.563307975354643,P,4,SP2
384.21495327102804,10.146650222702055,PI,4,SP2
290.73,4.493487166011747,PID,4,SP2
319.52,14.179089901373384,P,5,SP1
187.57617179386412,2.880466855584501,PI,5,SP1
222.21059502210352,7.570564000043118,PID,5,SP1
617.2056074766355,20.43641338956058,P,5,SP2
256.7396085237162,8.402418860105323,PI,5,SP2
286.9065420560748,5.122531844477559,PID,5,SP2
276.0841121495327,10.961110702450116,P,6,SP1
197.86223737498383,2.053224758524741,PI,6,SP1
228.22941340521302,2.523614132791167,PID,6,SP1
625.6355140186915,18.020582245702734,P,6,SP2
268.80237263323806,7.257472225010789,PI,6,SP2
302.1743911528312,4.582136811363437,PID,6,SP2
328.85046728971963,13.275524556049964,P,7,SP1
191.84224433610547,2.925888605057981,PI,7,SP1
221.33555092477874,3.0174926129580575,PID,7,SP1
793.018691588785,20.621098680792173,P,7,SP2
265.2150384066675,8.984120471317505,PI,7,SP2
298.08948242099666,4.7462042502591375,PID,7,SP2
153.44623518902233,9.708310216152476,P,8,SP1
204.23045118502725,0.7449613288577068,PI,8,SP1
231.44747972078315,1.8075251215889585,PID,8,SP1
456.30841121495325,16.55374246884131,P,8,SP2
265.34777209671046,5.157133939181482,PI,8,SP2
303.4423397443772,2.970103972543442,PID,8,SP2
156.97739303526646,8.952237341335856,P,9,SP1
209.87,1.02953245199331,PI,9,SP1
236.74764293133106,2.6130032704826376,PID,9,SP1
447.50467289719626,15.373263331928532,P,9,SP2
273.2612063587075,5.437816137116207,PI,9,SP2
308.0822627685594,3.499979633178428,PID,9,SP2
314.7383177570093,13.007578176353752,P,10,SP1
184.84712899329165,4.111851858826567,PI,10,SP1
216.5582341721309,5.6380696966777135,PID,10,SP1
720.0,19.405957202166444,P,10,SP2
387.803738317757,10.094123537451772,PI,10,SP2
285.4859813084112,5.274420389296424,PID,10,SP2
960.0,34.41532337221913,P,11,SP1
960.0,27.30054382866341,PI,11,SP1
960.0,24.08402719077477,PID,11,SP1
960.0,30.75183931552472,P,11,SP2
960.0,23.16641165727031,PI,11,SP2
810.29,12.192140079042364,PID,11,SP2
268.6261682242991,10.821232576769955,P,12,SP1
207.03584788668837,2.0393934432472958,PI,12,SP1
234.3960529929183,2.280385121478356,PID,12,SP1
491.97196261682245,17.40685802867624,P,12,SP2
269.81,6.255754408318481,PI,12,SP2
304.8268452942107,3.4263874035921624,PID,12,SP2
960.0,24.75812445272359,P,13,SP1
175.11312164477474,4.709256591488929,PI,13,SP1
207.2719465399651,2.888052421797006,PID,13,SP1
960.0,30.77583611850129,P,13,SP2
471.0747663551402,12.220136132678803,PI,13,SP2
271.74766355140184,5.5025544315515935,PID,13,SP2
329.86,12.513974943412068,P,14,SP1
182.56849127950815,4.88839992866323,PI,14,SP1
213.98229905214262,7.744137787081999,PID,14,SP1
912.3457943925233,19.568353632954487,P,14,SP2
609.42,11.234406687845839,PI,14,SP2
294.80031798327434,6.622319314580446,PID,14,SP2
275.0373831775701,11.454461415387568,P,15,SP1
210.0,0.7327972164801504,PI,15,SP1
235.3464755759299,1.6126589920674412,PID,15,SP1
506.38317757009344,18.38749920803605,P,15,SP2
269.8,4.875683714619196,PI,15,SP2
305.79861670601116,3.0161368284252585,PID,15,SP2
960.0,30.35479848565342,P,16,SP1
960.0,22.366914808435578,PI,16,SP1
960.0,16.915178338807422,PID,16,SP1
960.0,29.75552661229744,P,16,SP2
960.0,20.180882019883022,PI,16,SP2
278.7791204292253,7.487766893913814,PID,16,SP2
675.2616822429907,15.566260253873759,P,17,SP1
176.86292641451865,5.301874965237832,PI,17,SP1
209.0,4.559254136320568,PID,17,SP1
877.1308411214953,23.289279083151136,P,17,SP2
584.4392523364486,12.920155985748009,PI,17,SP2
284.7383177570093,8.586561651940466,PID,17,SP2
960.0,26.99543574688806,P,18,SP1
820.29,13.708956962391113,PI,18,SP1
684.4392523364486,10.844465009421244,PID,18,SP1
960.0,31.15505307902815,P,18,SP2
714.588785046729,14.94768276821214,PI,18,SP2
269.5,6.4347488762082685,PID,18,SP2
960.0,21.012844076605074,P,19,SP1
801.6728971962617,11.883095279962319,PI,19,SP1
943.9906542056075,14.738068449511118,PID,19,SP1
960.0,26.626026310003546,P,19,SP2
770.04,14.390253927957769,PI,19,SP2
277.7289719626168,7.0590191691040545,PID,19,SP2
297.95327102803736,12.150960960140033,P,20,SP1
191.31223166407372,3.5836991871993447,PI,20,SP1
222.77768844295528,8.497709225647467,PID,20,SP1
653.7663551401869,18.505344669876557,P,20,SP2
260.18,8.669977246306207,PI,20,SP2
291.22429906542055,4.99047827626899,PID,20,SP2
470.81,18.48328354275678,P,21,SP1
184.2237005035875,2.8380397054916586,PI,21,SP1
217.29586377449453,2.3511376630034038,PID,21,SP1
938.1028037383178,25.84958020423126,P,21,SP2
254.58161344410394,9.500549280512546,PI,21,SP2
292.37298607517374,4.53415682784003,PID,21,SP2
155.03559152049715,9.541960368535184,P,22,SP1
198.46631899586168,1.9541083572676583,PI,22,SP1
227.70647362274266,2.036845927810646,PID,22,SP1
457.803738317757,15.832464316411679,P,22,SP2
263.9421025946121,6.722253725488218,PI,22,SP2
300.75,4.270618633605128,PID,22,SP2
883.4672897196261,19.694507975280224,P,23,SP1
180.69,3.9084109603778656,PI,23,SP1
212.227642702853,3.778117538413868,PID,23,SP1
960.0,27.354199524409957,P,23,SP2
549.16,11.719701752556357,PI,23,SP2
286.0332716238634,5.7433161705670015,PID,23,SP2
960.0,18.427841452023532,P,24,SP1
901.2990654205607,12.91075765879543,PI,24,SP1
792.9439252336449,10.977948918457946,PID,24,SP1
960.0,22.784771156824167,P,24,SP2
833.392523364486,14.488066886934819,PI,24,SP2
291.2915049700961,8.87707943240219,PID,24,SP2
960.0,27.183425300698318,P,25,SP1
960.0,17.590872586394728,PI,25,SP1
877.8785046728972,13.726430452070643,PID,25,SP1
960.0,28.670873444653473,P,25,SP2
824.5140186915888,16.307132950454438,PI,25,SP2
273.1682242990654,5.828293774304379,PID,25,SP2
497.13084112149534,20.25868359203622,P,26,SP1
182.43274469097307,2.9190490816944124,PI,26,SP1
215.76713667369586,2.5304472338625876,PID,26,SP1
